symbol,name,exchange,breakout_date,breakout_close,breakout_ma250,breakout_premium_pct,latest_date,latest_close,latest_ma250,latest_premium_pct,sessions_since_breakout,signal_type
MUR,Murphy Oil Corporation Common Stock,NYSE,2026-07-02,31.8799991607666,31.876760009765626,0.0101614812797246,2026-07-02,31.8799991607666,31.876760009765626,0.0101614812797246,0,today
MEOH,Methanex Corporation - Common Stock,NASDAQ,2026-07-02,45.470001220703125,45.46392001342773,0.0133758973568376,2026-07-02,45.470001220703125,45.46392001342773,0.0133758973568376,0,today
NWSA,News Corporation - Class A Common Stock,NASDAQ,2026-07-02,26.63999938964844,26.63236000061035,0.0286846116450467,2026-07-02,26.63999938964844,26.63236000061035,0.0286846116450467,0,today
MSA,MSA Safety Incorporated Common Stock,NYSE,2026-07-02,171.47999572753906,171.35812030029297,0.0711232283783891,2026-07-02,171.47999572753906,171.35812030029297,0.0711232283783891,0,today
JOB,GEE Group Inc. Common Stock,NYSE American,2026-07-02,0.2166000008583068,0.2163863990306854,0.0987131485981951,2026-07-02,0.2166000008583068,0.2163863990306854,0.0987131485981951,0,today
AJG,Arthur J. Gallagher & Co. Common Stock,NYSE,2026-07-02,252.44000244140625,252.119360534668,0.1271786133592689,2026-07-02,252.44000244140625,252.119360534668,0.1271786133592689,0,today
CVX,Chevron Corporation Common Stock,NYSE,2026-07-02,169.1999969482422,168.86119995117187,0.2006363789717635,2026-07-02,169.1999969482422,168.86119995117187,0.2006363789717635,0,today
CATO,Cato Corporation (The) Class A Common Stock,NYSE,2026-07-02,3.3499999046325684,3.3411999921798707,0.2633758072936087,2026-07-02,3.3499999046325684,3.3411999921798707,0.2633758072936087,0,today
CSW,"CSW Industrials, Inc. Common Stock",NYSE,2026-07-02,276.1199951171875,275.3716801147461,0.2717472625106465,2026-07-02,276.1199951171875,275.3716801147461,0.2717472625106465,0,today
TFPM,Triple Flag Precious Metals Corp. Common Shares,NYSE,2026-07-02,31.489999771118164,31.39564010620117,0.3005502184309838,2026-07-02,31.489999771118164,31.39564010620117,0.3005502184309838,0,today
YORW,The York Water Company - Common Stock,NASDAQ,2026-07-02,31.420000076293945,31.32291997528076,0.3099331131637628,2026-07-02,31.420000076293945,31.32291997528076,0.3099331131637628,0,today
XPL,Solitario Resources Corp. Common Stock,NYSE American,2026-07-02,0.75,0.7476799986362457,0.3102933565142685,2026-07-02,0.75,0.7476799986362457,0.3102933565142685,0,today
CATX,"Perspective Therapeutics, Inc. Common Stock",NYSE American,2026-07-02,3.630000114440918,3.618399995803833,0.3205869624844482,2026-07-02,3.630000114440918,3.618399995803833,0.3205869624844482,0,today
AGO,Assured Guaranty Ltd. Common Stock,NYSE,2026-07-02,83.66999816894531,83.39092001342773,0.3346625213783927,2026-07-02,83.66999816894531,83.39092001342773,0.3346625213783927,0,today
WINA,Winmark Corporation - Common Stock,NASDAQ,2026-07-02,424.2900085449219,422.87292028808594,0.3351097194567387,2026-07-02,424.2900085449219,422.87292028808594,0.3351097194567387,0,today
ANIX,"Anixa Biosciences, Inc. - Common Stock",NASDAQ,2026-07-02,3.2699999809265137,3.257599998474121,0.3806477915704986,2026-07-02,3.2699999809265137,3.257599998474121,0.3806477915704986,0,today
LAD,"Lithia Motors, Inc. Common Stock",NYSE,2026-07-02,306.2300109863281,305.02056066894534,0.3965143578289698,2026-07-02,306.2300109863281,305.02056066894534,0.3965143578289698,0,today
TSN,"Tyson Foods, Inc. Common Stock",NYSE,2026-07-02,58.88999938964844,58.6475599822998,0.4133836214529784,2026-07-02,58.88999938964844,58.6475599822998,0.4133836214529784,0,today
MTD,"Mettler-Toledo International, Inc. Common Stock",NYSE,2026-07-02,1308.4300537109375,1302.43623828125,0.4602002964534391,2026-07-02,1308.4300537109375,1302.43623828125,0.4602002964534391,0,today
MKL,Markel Group Inc. Common Stock,NYSE,2026-07-02,1979.6500244140625,1970.540712402344,0.4622747428858265,2026-07-02,1979.6500244140625,1970.540712402344,0.4622747428858265,0,today
AMRZ,Amrize Ltd Ordinary Shares,NYSE,2026-07-02,53.63999938964844,53.36535992431641,0.5146399569337268,2026-07-02,53.63999938964844,53.36535992431641,0.5146399569337268,0,today
SMA,"SmartStop Self Storage REIT, Inc. Common Stock",NYSE,2026-07-02,33.66999816894531,33.49420001983643,0.5248614655814166,2026-07-02,33.66999816894531,33.49420001983643,0.5248614655814166,0,today
UMH,"UMH Properties, Inc. Common Stock",NYSE,2026-07-02,15.520000457763672,15.432079963684082,0.569725495762663,2026-07-02,15.520000457763672,15.432079963684082,0.569725495762663,0,today
ASMB,"Assembly Biosciences, Inc. - Common Stock",NASDAQ,2026-07-02,27.739999771118164,27.574319938659663,0.6008482995303543,2026-07-02,27.739999771118164,27.574319938659663,0.6008482995303543,0,today
DEI,"Douglas Emmett, Inc. Common Stock",NYSE,2026-07-02,12.510000228881836,12.420280006408692,0.7223687584084093,2026-07-02,12.510000228881836,12.420280006408692,0.7223687584084093,0,today
NTR,Nutrien Ltd. Common Shares,NYSE,2026-07-02,65.05999755859375,64.52847987365723,0.8236947251464732,2026-07-02,65.05999755859375,64.52847987365723,0.8236947251464732,0,today
AR,Antero Resources Corporation Common Stock,NYSE,2026-07-02,35.380001068115234,35.070280029296875,0.8831439000761554,2026-07-02,35.380001068115234,35.070280029296875,0.8831439000761554,0,today
PG,Procter & Gamble Company (The) Common Stock,NYSE,2026-07-02,151.41000366210938,150.0794404296875,0.8865726235468108,2026-07-02,151.41000366210938,150.0794404296875,0.8865726235468108,0,today
CLBT,Cellebrite DI Ltd. - Ordinary Shares,NASDAQ,2026-07-02,15.649999618530272,15.511859943389892,0.8905423053361616,2026-07-02,15.649999618530272,15.511859943389892,0.8905423053361616,0,today
GATX,GATX Corporation Common Stock,NYSE,2026-07-02,173.6699981689453,172.12796044921876,0.8958670722073014,2026-07-02,173.6699981689453,172.12796044921876,0.8958670722073014,0,today
OXY,Occidental Petroleum Corporation Common Stock,NYSE,2026-07-02,48.90999984741211,48.46955995178222,0.9086938195189688,2026-07-02,48.90999984741211,48.46955995178222,0.9086938195189688,0,today
DECK,Deckers Outdoor Corporation Common Stock,NYSE,2026-07-02,104.69000244140624,103.74208001708983,0.9137299195854264,2026-07-02,104.69000244140624,103.74208001708983,0.9137299195854264,0,today
STRA,"Strategic Education, Inc. - Common Stock",NASDAQ,2026-07-02,80.9800033569336,80.16104006958008,1.0216475318217455,2026-07-02,80.9800033569336,80.16104006958008,1.0216475318217455,0,today
NCMI,"National CineMedia, Inc. - Common Stock",NASDAQ,2026-07-02,3.9700000286102295,3.9295599994659423,1.0291235952570643,2026-07-02,3.9700000286102295,3.9295599994659423,1.0291235952570643,0,today
XPRO,Expro Group Holdings N.V. Common Stock,NYSE,2026-07-02,14.380000114440918,14.227200008392334,1.0739998450745691,2026-07-02,14.380000114440918,14.227200008392334,1.0739998450745691,0,today
ALEC,"Alector, Inc. - Common Stock",NASDAQ,2026-07-02,2.059999942779541,2.038100000858307,1.0745273495908592,2026-07-02,2.059999942779541,2.038100000858307,1.0745273495908592,0,today
PPL,PPL Corporation Common Stock,NYSE,2026-07-02,36.88999938964844,36.476040100097656,1.1348800155246863,2026-07-02,36.88999938964844,36.476040100097656,1.1348800155246863,0,today
NVO,Novo Nordisk A/S Common Stock,NYSE,2026-07-02,50.43000030517578,49.853879974365235,1.1556178397885697,2026-07-02,50.43000030517578,49.853879974365235,1.1556178397885697,0,today
COP,ConocoPhillips Common Stock,NYSE,2026-07-02,104.7300033569336,103.48020028686524,1.2077702464854845,2026-07-02,104.7300033569336,103.48020028686524,1.2077702464854845,0,today
TARS,"Tarsus Pharmaceuticals, Inc. - Common Stock",NASDAQ,2026-07-02,65.44000244140625,64.63091999816895,1.2518504196756377,2026-07-02,65.44000244140625,64.63091999816895,1.2518504196756377,0,today
ARDT,"Ardent Health, Inc. Common Stock",NYSE,2026-07-02,10.760000228881836,10.623360004425049,1.286224173894812,2026-07-02,10.760000228881836,10.623360004425049,1.286224173894812,0,today
WFRD,Weatherford International plc - Ordinary shares,NASDAQ,2026-07-02,83.01000213623047,81.91616009521485,1.3353189892497452,2026-07-02,83.01000213623047,81.91616009521485,1.3353189892497452,0,today
TK,Teekay Corporation Ltd. Common Stock,NYSE,2026-07-02,10.3100004196167,10.172960023880004,1.347104435827973,2026-07-02,10.3100004196167,10.172960023880004,1.347104435827973,0,today
TNET,"TriNet Group, Inc. Common Stock",NYSE,2026-07-02,55.209999084472656,54.43951992797851,1.4152938113955793,2026-07-02,55.209999084472656,54.43951992797851,1.4152938113955793,0,today
CI,The Cigna Group Common Stock,NYSE,2026-07-02,287.7699890136719,283.4501999511719,1.5240028277433204,2026-07-02,287.7699890136719,283.4501999511719,1.5240028277433204,0,today
KRMD,"KORU Medical Systems, Inc. - Common Stock",NASDAQ,2026-07-02,4.489999771118164,4.4224800128936765,1.5267397032351582,2026-07-02,4.489999771118164,4.4224800128936765,1.5267397032351582,0,today
VTOL,"Bristow Group, Inc. Common Stock",NYSE,2026-07-02,41.40999984741211,40.779599899291995,1.5458708513004904,2026-07-02,41.40999984741211,40.779599899291995,1.5458708513004904,0,today
VRCA,Verrica Pharmaceuticals Inc. - Common Stock,NASDAQ,2026-07-02,6.135000228881836,6.041300004005432,1.5509944021035116,2026-07-02,6.135000228881836,6.041300004005432,1.5509944021035116,0,today
MDLZ,"Mondelez International, Inc. - Class A Common Stock",NASDAQ,2026-07-02,60.90999984741211,59.97524006652832,1.5585761388314356,2026-07-02,60.90999984741211,59.97524006652832,1.5585761388314356,0,today
MCHX,"Marchex, Inc. - Class B Common Stock",NASDAQ,2026-07-02,1.7400000095367432,1.7131599950790406,1.5666963117746846,2026-07-02,1.7400000095367432,1.7131599950790406,1.5666963117746846,0,today
WTRG,"Essential Utilities, Inc. Common Stock",NYSE,2026-07-02,39.380001068115234,38.76796003723145,1.578729007912738,2026-07-02,39.380001068115234,38.76796003723145,1.578729007912738,0,today
AMP,"Ameriprise Financial, Inc. Common Stock",NYSE,2026-07-02,489.1600036621094,481.3147199707031,1.62996961569839,2026-07-02,489.1600036621094,481.3147199707031,1.62996961569839,0,today
MTDR,Matador Resources Company Common Stock,NYSE,2026-07-02,50.18000030517578,49.36223994445801,1.6566516463554004,2026-07-02,50.18000030517578,49.36223994445801,1.6566516463554004,0,today
AIG,"American International Group, Inc. New Common Stock",NYSE,2026-07-02,79.38999938964844,78.0769998779297,1.6816725972713664,2026-07-02,79.38999938964844,78.0769998779297,1.6816725972713664,0,today
B,Barrick Mining Corporation Common Shares,NYSE,2026-07-02,38.209999084472656,37.57156005096436,1.6992614430763051,2026-07-02,38.209999084472656,37.57156005096436,1.6992614430763051,0,today
RGP,"Resources Connection, Inc. - Common Stock",NASDAQ,2026-07-02,4.619999885559082,4.542320015907287,1.7101364364412674,2026-07-02,4.619999885559082,4.542320015907287,1.7101364364412674,0,today
TMO,Thermo Fisher Scientific Inc Common Stock,NYSE,2026-07-02,523.4400024414062,514.4312403564453,1.7512082039805366,2026-07-02,523.4400024414062,514.4312403564453,1.7512082039805366,0,today
SDGR,"Schrodinger, Inc. - Common Stock",NASDAQ,2026-07-02,16.8799991607666,16.57037995147705,1.868510017248881,2026-07-02,16.8799991607666,16.57037995147705,1.868510017248881,0,today
CAR,"Avis Budget Group, Inc. - Common Stock",NASDAQ,2026-07-02,163.44000244140625,160.38612005615235,1.904081465518792,2026-07-02,163.44000244140625,160.38612005615235,1.904081465518792,0,today
MC,Moelis & Company Class A Common Stock,NYSE,2026-07-02,68.55000305175781,67.2438000946045,1.9424883116594185,2026-07-02,68.55000305175781,67.2438000946045,1.9424883116594185,0,today
ASIX,AdvanSix Inc. Common Stock,NYSE,2026-07-02,20.290000915527344,19.90328002166748,1.943000819155749,2026-07-02,20.290000915527344,19.90328002166748,1.943000819155749,0,today
DXCM,"DexCom, Inc. - Common Stock",NASDAQ,2026-07-02,71.25,69.88380003356933,1.9549594695400072,2026-07-02,71.25,69.88380003356933,1.9549594695400072,0,today
RJF,"Raymond James Financial, Inc. Common Stock",NYSE,2026-07-02,162.66000366210938,159.49804010009765,1.9824466557879503,2026-07-02,162.66000366210938,159.49804010009765,1.9824466557879503,0,today
VNDA,Vanda Pharmaceuticals Inc. - Common Stock,NASDAQ,2026-07-02,6.210000038146973,6.086720001220703,2.0253935929621436,2026-07-02,6.210000038146973,6.086720001220703,2.0253935929621436,0,today
AU,AngloGold Ashanti PLC Ordinary Shares,NYSE,2026-07-02,84.6500015258789,82.96191984558105,2.0347668947872988,2026-07-02,84.6500015258789,82.96191984558105,2.0347668947872988,0,today
SMTI,Sanara MedTech Inc. - Common Stock,NASDAQ,2026-07-02,24.84000015258789,24.33031997680664,2.094835482094415,2026-07-02,24.84000015258789,24.33031997680664,2.094835482094415,0,today
AWK,"American Water Works Company, Inc. Common Stock",NYSE,2026-07-02,136.86000061035156,133.8734001159668,2.230914051482702,2026-07-02,136.86000061035156,133.8734001159668,2.230914051482702,0,today
CTMX,"CytomX Therapeutics, Inc. - Common Stock",NASDAQ,2026-07-02,3.819999933242798,3.7347399950027462,2.2828881891144404,2026-07-02,3.819999933242798,3.7347399950027462,2.2828881891144404,0,today
TDG,Transdigm Group Incorporated Common Stock,NYSE,2026-07-02,1348.489990234375,1318.3298383789063,2.287754625394456,2026-07-02,1348.489990234375,1318.3298383789063,2.287754625394456,0,today
