symbol,name,exchange,breakout_date,breakout_close,breakout_ma250,breakout_premium_pct,latest_date,latest_close,latest_ma250,latest_premium_pct,sessions_since_breakout,signal_type
ZDGE,"Zedge, Inc. Class B Common Stock",NYSE American,2026-03-24,3.059999942779541,3.0574759917259215,0.0825501511851456,2026-03-24,3.059999942779541,3.0574759917259215,0.0825501511851456,0,today
DRI,"Darden Restaurants, Inc. Common Stock",NYSE,2026-03-24,200.52000427246097,200.307240234375,0.1062188455279944,2026-03-24,200.52000427246097,200.307240234375,0.1062188455279944,0,today
WLAC,Willow Lane Acquisition Corp. - Class A Ordinary Shares,NASDAQ,2026-03-24,11.09000015258789,11.07456805038452,0.1393472154684438,2026-03-24,11.09000015258789,11.07456805038452,0.1393472154684438,0,today
WERN,"Werner Enterprises, Inc. - Common Stock",NASDAQ,2026-03-24,28.8700008392334,28.794880027770997,0.2608825297759631,2026-03-24,28.8700008392334,28.794880027770997,0.2608825297759631,0,today
WST,"West Pharmaceutical Services, Inc. Common Stock",NYSE,2026-03-24,245.27000427246097,244.62024005126952,0.2656216104829356,2026-03-24,245.27000427246097,244.62024005126952,0.2656216104829356,0,today
AVA,Avista Corporation Common Stock,NYSE,2026-03-24,39.11000061035156,38.99904002380371,0.2845213279099479,2026-03-24,39.11000061035156,38.99904002380371,0.2845213279099479,0,today
BDC,Belden Inc Common Stock,NYSE,2026-03-24,118.69000244140624,118.25327966308592,0.3693113455834673,2026-03-24,118.69000244140624,118.25327966308592,0.3693113455834673,0,today
NVEC,NVE Corporation - Common Stock,NASDAQ,2026-03-24,67.30000305175781,67.03400018310546,0.3968178356144047,2026-03-24,67.30000305175781,67.03400018310546,0.3968178356144047,0,today
CVS,CVS Health Corporation Common Stock,NYSE,2026-03-24,72.80000305175781,72.44172003173829,0.4945810506191028,2026-03-24,72.80000305175781,72.44172003173829,0.4945810506191028,0,today
JPM,JP Morgan Chase & Co. Common Stock,NYSE,2026-03-24,292.3999938964844,290.89112036132815,0.5187073202103987,2026-03-24,292.3999938964844,290.89112036132815,0.5187073202103987,0,today
GCO,Genesco Inc. Common Stock,NYSE,2026-03-24,26.510000228881836,26.371639976501463,0.5246554727110553,2026-03-24,26.510000228881836,26.371639976501463,0.5246554727110553,0,today
NBHC,National Bank Holdings Corporation Common Stock,NYSE,2026-03-24,38.439998626708984,38.238480102539064,0.5270045347763208,2026-03-24,38.439998626708984,38.238480102539064,0.5270045347763208,0,today
ALLY,Ally Financial Inc. Common Stock,NYSE,2026-03-24,39.52000045776367,39.263640060424805,0.6529206078303984,2026-03-24,39.52000045776367,39.263640060424805,0.6529206078303984,0,today
ANF,Abercrombie & Fitch Company Common Stock,NYSE,2026-03-24,88.83999633789062,88.24212002563476,0.6775407391415467,2026-03-24,88.83999633789062,88.24212002563476,0.6775407391415467,0,today
WINA,Winmark Corporation - Common Stock,NASDAQ,2026-03-24,422.3999938964844,419.54876025390627,0.6795952968261743,2026-03-24,422.3999938964844,419.54876025390627,0.6795952968261743,0,today
RS,"Reliance, Inc. Common Stock",NYSE,2026-03-24,300.2200012207031,298.1021198730469,0.7104549771595581,2026-03-24,300.2200012207031,298.1021198730469,0.7104549771595581,0,today
SSD,"Simpson Manufacturing Company, Inc. Common Stock",NYSE,2026-03-24,172.85000610351562,171.60200042724608,0.7272675569995224,2026-03-24,172.85000610351562,171.60200042724608,0.7272675569995224,0,today
SKYH,Sky Harbour Group Corporation Class A Common Stock,NYSE,2026-03-24,10.079999923706056,10.00544002532959,0.7451935965605783,2026-03-24,10.079999923706056,10.00544002532959,0.7451935965605783,0,today
RVSB,Riverview Bancorp Inc - Common Stock,NASDAQ,2026-03-24,5.420000076293945,5.371519994735718,0.9025393483732548,2026-03-24,5.420000076293945,5.371519994735718,0.9025393483732548,0,today
FBP,First BanCorp. New Common Stock,NYSE,2026-03-24,21.030000686645508,20.829959953308105,0.9603510222093936,2026-03-24,21.030000686645508,20.829959953308105,0.9603510222093936,0,today
MKTW,"MarketWise, Inc. - Class A Common Stock",NASDAQ,2026-03-24,16.219999313354492,16.06083996963501,0.990977707395091,2026-03-24,16.219999313354492,16.06083996963501,0.990977707395091,0,today
MTUS,Metallus Inc. Common Shares,NYSE,2026-03-24,16.40999984741211,16.2371199798584,1.064720022812926,2026-03-24,16.40999984741211,16.2371199798584,1.064720022812926,0,today
HWKN,"Hawkins, Inc. - Common Stock",NASDAQ,2026-03-24,147.75,146.05928048706053,1.157557059915315,2026-03-24,147.75,146.05928048706053,1.157557059915315,0,today
CALX,"Calix, Inc Common Stock",NYSE,2026-03-24,53.31999969482422,52.62940007019043,1.312193609869694,2026-03-24,53.31999969482422,52.62940007019043,1.312193609869694,0,today
INVE,"Identiv, Inc. - Common Stock",NASDAQ,2026-03-24,3.490000009536743,3.436520009994507,1.556225466073213,2026-03-24,3.490000009536743,3.436520009994507,1.556225466073213,0,today
EAT,"Brinker International, Inc. Common Stock",NYSE,2026-03-24,151.58999633789062,149.20444018554687,1.5988506437054628,2026-03-24,151.58999633789062,149.20444018554687,1.5988506437054628,0,today
OESX,"Orion Energy Systems, Inc. - Common Stock",NASDAQ,2026-03-24,10.039999961853027,9.878720014572144,1.6325996388497632,2026-03-24,10.039999961853027,9.878720014572144,1.6325996388497632,0,today
