symbol,name,exchange,breakout_date,breakout_close,breakout_ma250,breakout_premium_pct,latest_date,latest_close,latest_ma250,latest_premium_pct,sessions_since_breakout,signal_type
SD,"SandRidge Energy, Inc. Common Stock",NYSE,2026-07-22,14.0,13.9977600440979,0.0160022453238539,2026-07-22,14.0,13.9977600440979,0.0160022453238539,0,today
VZ,Verizon Communications Inc. Common Stock,NYSE,2026-07-22,44.290000915527344,44.27175994873047,0.0412022626116392,2026-07-22,44.290000915527344,44.27175994873047,0.0412022626116392,0,today
TVA,Texas Ventures Acquisition III Corp - Class A Ordinary Share,NASDAQ,2026-07-22,10.550000190734863,10.54428800201416,0.0541732995116728,2026-07-22,10.550000190734863,10.54428800201416,0.0541732995116728,0,today
MSCI,MSCI Inc. Common Stock,NYSE,2026-07-22,570.9500122070312,570.3792784423828,0.1000621492083464,2026-07-22,570.9500122070312,570.3792784423828,0.1000621492083464,0,today
BORR,Borr Drilling Limited Common Shares,NYSE,2026-07-22,4.210000038146973,4.2047200164794925,0.1255736802161955,2026-07-22,4.210000038146973,4.2047200164794925,0.1255736802161955,0,today
WAFU,Wah Fu Education Group Limited - Ordinary Shares,NASDAQ,2026-07-22,1.649899959564209,1.647379599571228,0.1529920604599555,2026-07-22,1.649899959564209,1.647379599571228,0.1529920604599555,0,today
AUGO,Aura Minerals Inc. - Common Shares,NASDAQ,2026-07-22,55.88999938964844,55.777560005187986,0.2015853408610768,2026-07-22,55.88999938964844,55.777560005187986,0.2015853408610768,0,today
BCPC,Balchem Corporation - Common Stock,NASDAQ,2026-07-22,162.10000610351562,161.73468005371095,0.2258798482077884,2026-07-22,162.10000610351562,161.73468005371095,0.2258798482077884,0,today
UVV,Universal Corporation Common Stock,NYSE,2026-07-22,53.75,53.58888003540039,0.3006593242724564,2026-07-22,53.75,53.58888003540039,0.3006593242724564,0,today
ZWS,Zurn Elkay Water Solutions Corporation Common Stock,NYSE,2026-07-22,47.47999954223633,47.32747990417481,0.3222644399624386,2026-07-22,47.47999954223633,47.32747990417481,0.3222644399624386,0,today
AWK,"American Water Works Company, Inc. Common Stock",NYSE,2026-07-22,133.8300018310547,133.36696011352538,0.3471937255937751,2026-07-22,133.8300018310547,133.36696011352538,0.3471937255937751,0,today
MLP,"Maui Land & Pineapple Company, Inc. Common Stock",NYSE,2026-07-22,16.719999313354492,16.6618399848938,0.3490570580045427,2026-07-22,16.719999313354492,16.6618399848938,0.3490570580045427,0,today
ABG,Asbury Automotive Group Inc Common Stock,NYSE,2026-07-22,223.36000061035156,222.49379986572265,0.3893145540018183,2026-07-22,223.36000061035156,222.49379986572265,0.3893145540018183,0,today
MSA,MSA Safety Incorporated Common Stock,NYSE,2026-07-22,171.8300018310547,171.16032037353514,0.3912597593052291,2026-07-22,171.8300018310547,171.16032037353514,0.3912597593052291,0,today
CMS,CMS Energy Corporation Common Stock,NYSE,2026-07-22,73.9800033569336,73.67703985595703,0.4112047682274911,2026-07-22,73.9800033569336,73.67703985595703,0.4112047682274911,0,today
